path_id,path_str,source_root,mediator,target,path_length,path_sign,path_effect,path_effect_abs,source_group,mediator_group,target_group,source_total_effect,source_abs_path_sum,path_rank_within_source,path_share_within_source_abs,is_main_path
current_path_034,DF->WTD->UF->IP->RISK,DF,WTD|UF|IP,RISK,4,positive,3.143891178363142e-05,3.143891178363142e-05,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,10,0.0017084009782210253,False
current_path_009,DK->WTD->IP->RISK,DK,WTD|IP,RISK,3,positive,2.8797900773245367e-05,2.8797900773245367e-05,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,11,0.00010189734021425868,False
current_path_061,PR->WTD->UF->IP->RISK,PR,WTD|UF|IP,RISK,4,positive,2.8475708337243997e-05,2.8475708337243997e-05,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,12,7.560546937458029e-05,False
current_path_038,DF->WTD->LAI->UF->RISK,DF,WTD|LAI|UF,RISK,4,positive,2.5990752414397477e-05,2.5990752414397477e-05,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,11,0.0014123461764530675,False
current_path_065,PR->WTD->LAI->UF->RISK,PR,WTD|LAI|UF,RISK,4,positive,2.3541052893670333e-05,2.3541052893670333e-05,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,13,6.25035322218793e-05,False
current_path_050,HDS->WTD->LAI->UF->IP->RISK,HDS,WTD|LAI|UF|IP,RISK,5,negative,-2.0646841043078743e-05,2.0646841043078743e-05,Hydrogeology,Anthropogenic,Target,-0.2892322204747303,0.34911329658752427,14,5.914080398797554e-05,False
current_path_102,PT->WTD->IP->RISK,PT,WTD|IP,RISK,3,positive,1.9772618182459232e-05,1.9772618182459232e-05,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,11,0.0001186537308771724,False
current_path_007,DK->WTD->UF->IP->RISK,DK,WTD|UF|IP,RISK,4,positive,1.729636490449803e-05,1.729636490449803e-05,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,12,6.120076574404353e-05,False
current_path_011,DK->WTD->LAI->UF->RISK,DK,WTD|LAI|UF,RISK,4,positive,1.4299017122339982e-05,1.4299017122339982e-05,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,13,5.0595070242003185e-05,False
current_path_089,HUSS->WTD->LAI->UF->IP->RISK,HUSS,WTD|LAI|UF|IP,RISK,5,positive,1.3665491359610469e-05,1.3665491359610469e-05,Climate,Anthropogenic,Target,-0.3926715940450668,0.41240174971982846,14,3.313635640220812e-05,False
current_path_100,PT->WTD->UF->IP->RISK,PT,WTD|UF|IP,RISK,4,positive,1.1875671837818705e-05,1.1875671837818705e-05,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,12,7.126485512577168e-05,False
current_path_024,DB->WTD->LAI->UF->IP->RISK,DB,WTD|LAI|UF|IP,RISK,5,positive,9.980100221915483e-06,9.980100221915483e-06,Hydrogeology,Anthropogenic,Target,-0.1498912674435789,0.20569830538397263,14,4.8518145073124654e-05,False
current_path_104,PT->WTD->LAI->UF->RISK,PT,WTD|LAI|UF,RISK,4,positive,9.817694983071276e-06,9.817694983071276e-06,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,13,5.891511825120465e-05,False
current_path_075,TAS->WTD->LAI->UF->IP->RISK,TAS,WTD|LAI|UF|IP,RISK,5,negative,-8.79768786593807e-06,8.79768786593807e-06,Climate,Anthropogenic,Target,0.2918316233019989,0.30453367305675194,11,2.888904789290267e-05,False
current_path_037,DF->WTD->LAI->UF->IP->RISK,DF,WTD|LAI|UF|IP,RISK,5,positive,6.4683716819162074e-06,6.4683716819162074e-06,Hydrogeology,Anthropogenic,Target,0.0128413274901641,0.018402536748936462,12,0.0003514934799567801,False
current_path_064,PR->WTD->LAI->UF->IP->RISK,PR,WTD|LAI|UF|IP,RISK,5,positive,5.858709954682118e-06,5.858709954682118e-06,Climate,Anthropogenic,Target,0.2704314152905622,0.37663556053284636,14,1.5555381829568854e-05,False
current_path_010,DK->WTD->LAI->UF->IP->RISK,DK,WTD|LAI|UF|IP,RISK,5,positive,3.5586256203242386e-06,3.5586256203242386e-06,Hydrogeology,Anthropogenic,Target,-0.2774788827882801,0.2826168054307626,14,1.259169855416137e-05,False
current_path_103,PT->WTD->LAI->UF->IP->RISK,PT,WTD|LAI|UF|IP,RISK,5,positive,2.443349819107622e-06,2.443349819107622e-06,Anthropogenic,Anthropogenic,Target,0.1666413524150151,0.166641352415015,14,1.4662325909492962e-05,False
