false_positive_rate,true_positive_rate_mean,true_positive_rate_p05,true_positive_rate_p95
0.465863453815261,0.9967058328702834,0.9951186708893449,0.9980768572605918
0.4698795180722891,0.9967600932938957,0.9951826422131754,0.9981405489634304
0.4738955823293172,0.9968095357765315,0.9952817851201868,0.9981930257943089
0.47791164658634533,0.9968603971327689,0.9955026612558469,0.9982259528701491
0.48192771084337344,0.9968989443017326,0.9955326058272703,0.9982511891841654
0.48594377510040154,0.9969363183220362,0.9955529553958288,0.9982631883206029
0.48995983935742965,0.9969893258474113,0.9955695579284105,0.9984287818957985
0.4939759036144578,0.997043528892189,0.9955861604609922,0.9984530734701949
0.4979919678714859,0.9970890153370863,0.995602762993574,0.9984705043797495
0.502008032128514,0.9971236223078208,0.9956193655261557,0.9984879352893041
0.5060240963855421,0.9971538240179904,0.9956462492400655,0.9985053661988589
0.5100401606425702,0.9971832901814873,0.9956786816941425,0.9985227971084136
0.5140562248995983,0.99721192467462,0.9957111141482196,0.9985402280179683
0.5180722891566265,0.9972415356223092,0.9957523985810328,0.9985582063226803
0.5220883534136546,0.9972713773135989,0.9957959500377975,0.9985762468668572
0.5261044176706827,0.9972966202076549,0.995838967272294,0.9985942874110342
0.5301204819277108,0.9973199592333617,0.9958607533066108,0.998612327955211
0.5341365461847389,0.9973476811815918,0.9958717801119596,0.9986303684993879
0.538152610441767,0.9973751775716245,0.9958828069173085,0.9986484090435648
0.5421686746987951,0.9974050407089736,0.9958938337226573,0.9986664495877416
